Student_Id,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total Score,Pass/Fail
101,female,group B,bachelor's degree,standard,none,72,72,74,218,P
102,female,group C,some college,standard,completed,69,90,88,247,P
103,female,group B,master's degree,standard,none,90,95,93,278,P
104,male,group A,associate's degree,free/reduced,none,47,57,44,148,P
105,male,group C,some college,standard,none,76,78,75,229,P
106,female,group B,associate's degree,standard,none,71,83,78,232,P
107,female,group B,some college,standard,completed,88,95,92,275,P
108,male,group B,some college,free/reduced,none,40,43,39,122,F
109,male,group D,high school,free/reduced,completed,64,64,67,195,P
110,female,group B,high school,free/reduced,none,38,60,50,148,F
111,male,group C,associate's degree,standard,none,58,54,52,164,P
112,male,group D,associate's degree,standard,none,40,52,43,135,F
113,female,group B,high school,standard,none,65,81,73,219,P
114,male,group A,some college,standard,completed,78,72,70,220,P
115,female,group A,master's degree,standard,none,50,53,58,161,P
116,female,group C,some high school,standard,none,69,75,78,222,P
117,male,group C,high school,standard,none,88,89,86,263,P
118,female,group B,some high school,free/reduced,none,18,32,28,78,F
119,male,group C,master's degree,free/reduced,completed,46,42,46,134,P
120,female,group C,associate's degree,free/reduced,none,54,58,61,173,P
121,male,group D,high school,standard,none,66,69,63,198,P
122,female,group B,some college,free/reduced,completed,65,75,70,210,P
123,male,group D,some college,standard,none,44,54,53,151,P
124,female,group C,some high school,standard,none,69,73,73,215,P
125,male,group D,bachelor's degree,free/reduced,completed,74,71,80,225,P
126,male,group A,master's degree,free/reduced,none,73,74,72,219,P
127,male,group B,some college,standard,none,69,54,55,178,P
128,female,group C,bachelor's degree,standard,none,67,69,75,211,P
129,male,group C,high school,standard,none,70,70,65,205,P
130,female,group D,master's degree,standard,none,62,70,75,207,P
131,female,group D,some college,standard,none,69,74,74,217,P
132,female,group B,some college,standard,none,63,65,61,189,P
133,female,group E,master's degree,free/reduced,none,56,72,65,193,P
134,male,group D,some college,standard,none,40,42,38,120,F
135,male,group E,some college,standard,none,97,87,82,266,P
136,male,group E,associate's degree,standard,completed,81,81,79,241,P
137,female,group D,associate's degree,standard,none,74,81,83,238,P
138,female,group D,some high school,free/reduced,none,50,64,59,173,P
139,female,group D,associate's degree,free/reduced,completed,75,90,88,253,P
140,male,group B,associate's degree,free/reduced,none,57,56,57,170,P
141,male,group C,associate's degree,free/reduced,none,55,61,54,170,P
142,female,group C,associate's degree,standard,none,58,73,68,199,P
143,female,group B,associate's degree,standard,none,53,58,65,176,P
144,male,group B,some college,free/reduced,completed,59,65,66,190,P
145,female,group E,associate's degree,free/reduced,none,50,56,54,160,P
146,male,group B,associate's degree,standard,none,65,54,57,176,P
147,female,group A,associate's degree,standard,completed,55,65,62,182,P
148,female,group C,high school,standard,none,66,71,76,213,P
149,female,group D,associate's degree,free/reduced,completed,57,74,76,207,P
150,male,group C,high school,standard,completed,82,84,82,248,P
151,male,group E,some college,standard,none,53,55,48,156,P
152,male,group E,associate's degree,free/reduced,completed,77,69,68,214,P
153,male,group C,some college,standard,none,53,44,42,139,P
154,male,group D,high school,standard,none,88,78,75,241,P
155,female,group C,some high school,free/reduced,completed,71,84,87,242,P
156,female,group C,high school,free/reduced,none,33,41,43,117,F
157,female,group E,associate's degree,standard,completed,82,85,86,253,P
158,male,group D,associate's degree,standard,none,52,55,49,156,P
159,male,group D,some college,standard,completed,58,59,58,175,P
160,female,group C,some high school,free/reduced,none,0,17,10,27,F
161,male,group E,bachelor's degree,free/reduced,completed,79,74,72,225,P
162,male,group A,some high school,free/reduced,none,39,39,34,112,F
163,male,group A,associate's degree,free/reduced,none,62,61,55,178,P
164,female,group C,associate's degree,standard,none,69,80,71,220,P
165,female,group D,some high school,standard,none,59,58,59,176,P
166,male,group B,some high school,standard,none,67,64,61,192,P
167,male,group D,some high school,free/reduced,none,45,37,37,119,F
168,female,group C,some college,standard,none,60,72,74,206,P
169,male,group B,associate's degree,free/reduced,none,61,58,56,175,P
170,female,group C,associate's degree,standard,none,39,64,57,160,F
171,female,group D,some college,free/reduced,completed,58,63,73,194,P
172,male,group D,some college,standard,completed,63,55,63,181,P
173,female,group A,associate's degree,free/reduced,none,41,51,48,140,P
174,male,group C,some high school,free/reduced,none,61,57,56,174,P
175,male,group C,some high school,standard,none,49,49,41,139,P
176,male,group B,associate's degree,free/reduced,none,44,41,38,123,F
177,male,group E,some high school,standard,none,30,26,22,78,F
178,male,group A,bachelor's degree,standard,completed,80,78,81,239,P
179,female,group D,some high school,standard,completed,61,74,72,207,P
180,female,group E,master's degree,standard,none,62,68,68,198,P
181,female,group B,associate's degree,standard,none,47,49,50,146,P
